temporada,clube,rodada,pts_acum,ppg_acum,rebaixado
2015,atletico-mg,15,32.0000,2.1333,0
2015,avai,15,17.0000,1.1333,1
2015,chapecoense,15,22.0000,1.4667,0
2015,corinthians,15,30.0000,2.0000,0
2015,coritiba,15,11.0000,0.7333,0
2015,cruzeiro,15,17.0000,1.1333,0
2015,figueirense,15,16.0000,1.0667,0
2015,flamengo,15,19.0000,1.2667,0
2015,fluminense,15,27.0000,1.8000,0
2015,goias,15,13.0000,0.8667,1
2015,gremio,15,27.0000,1.8000,0
2015,internacional,15,20.0000,1.3333,0
2015,joinville,15,9.0000,0.6000,1
2015,palmeiras,15,28.0000,1.8667,0
2015,ponte-preta,15,19.0000,1.2667,0
2015,santos,15,16.0000,1.0667,0
2015,sao-paulo,15,27.0000,1.8000,0
2015,sport,15,28.0000,1.8667,0
2015,vasco,15,12.0000,0.8000,1
2015,athletico-pr,20,30.0000,1.5000,0
2015,atletico-mg,20,39.0000,1.9500,0
2015,avai,20,20.0000,1.0000,1
2015,chapecoense,20,28.0000,1.4000,0
2015,corinthians,20,43.0000,2.1500,0
2015,coritiba,20,21.0000,1.0500,0
2015,cruzeiro,20,22.0000,1.1000,0
2015,figueirense,20,23.0000,1.1500,0
2015,flamengo,20,26.0000,1.3000,0
2015,fluminense,20,33.0000,1.6500,0
2015,goias,20,22.0000,1.1000,1
2015,gremio,20,37.0000,1.8500,0
2015,internacional,20,28.0000,1.4000,0
2015,joinville,20,19.0000,0.9500,1
2015,palmeiras,20,31.0000,1.5500,0
2015,ponte-preta,20,27.0000,1.3500,0
2015,santos,20,27.0000,1.3500,0
2015,sao-paulo,20,31.0000,1.5500,0
2015,sport,20,31.0000,1.5500,0
2015,vasco,20,13.0000,0.6500,1
2015,athletico-pr,25,38.0000,1.5200,0
2015,atletico-mg,25,49.0000,1.9600,0
2015,avai,25,26.0000,1.0400,1
2015,chapecoense,25,30.0000,1.2000,0
2015,corinthians,25,54.0000,2.1600,0
2015,coritiba,25,27.0000,1.0800,0
2015,cruzeiro,25,29.0000,1.1600,0
2015,figueirense,25,27.0000,1.0800,0
2015,flamengo,25,41.0000,1.6400,0
2015,fluminense,25,34.0000,1.3600,0
2015,goias,25,28.0000,1.1200,1
2015,gremio,25,45.0000,1.8000,0
2015,internacional,25,37.0000,1.4800,0
2015,joinville,25,22.0000,0.8800,1
2015,palmeiras,25,38.0000,1.5200,0
2015,ponte-preta,25,31.0000,1.2400,0
2015,santos,25,37.0000,1.4800,0
2015,sao-paulo,25,41.0000,1.6400,0
2015,sport,25,36.0000,1.4400,0
2015,vasco,25,19.0000,0.7600,1
2015,athletico-pr,30,39.0000,1.3000,0
2015,atletico-mg,30,59.0000,1.9667,0
2015,avai,30,33.0000,1.1000,1
2015,chapecoense,30,35.0000,1.1667,0
2015,corinthians,30,64.0000,2.1333,0
2015,coritiba,30,33.0000,1.1000,0
2015,cruzeiro,30,38.0000,1.2667,0
2015,figueirense,30,34.0000,1.1333,0
2015,flamengo,30,44.0000,1.4667,0
2015,fluminense,30,40.0000,1.3333,0
2015,goias,30,31.0000,1.0333,1
2015,gremio,30,55.0000,1.8333,0
2015,internacional,30,44.0000,1.4667,0
2015,joinville,30,27.0000,0.9000,1
2015,palmeiras,30,45.0000,1.5000,0
2015,ponte-preta,30,44.0000,1.4667,0
2015,santos,30,46.0000,1.5333,0
2015,sao-paulo,30,46.0000,1.5333,0
2015,sport,30,43.0000,1.4333,0
2015,vasco,30,28.0000,0.9333,1
2015,athletico-pr,35,47.0000,1.3429,0
2015,atletico-mg,35,65.0000,1.8571,0
2015,avai,35,38.0000,1.0857,1
2015,chapecoense,35,46.0000,1.3143,0
2015,corinthians,35,77.0000,2.2000,0
2015,coritiba,35,37.0000,1.0571,0
2015,cruzeiro,35,51.0000,1.4571,0
2015,figueirense,35,39.0000,1.1143,0
2015,flamengo,35,48.0000,1.3714,0
2015,fluminense,35,43.0000,1.2286,0
2015,goias,35,34.0000,0.9714,1
2015,gremio,35,62.0000,1.7714,0
2015,internacional,35,53.0000,1.5143,0
2015,joinville,35,31.0000,0.8857,1
2015,palmeiras,35,49.0000,1.4000,0
2015,ponte-preta,35,50.0000,1.4286,0
2015,santos,35,55.0000,1.5714,0
2015,sao-paulo,35,56.0000,1.6000,0
2015,sport,35,52.0000,1.4857,0
2015,vasco,35,34.0000,0.9714,1
2016,america-mg,10,8.0000,0.8000,1
2016,athletico-pr,10,14.0000,1.4000,0
2016,atletico-mg,10,13.0000,1.3000,0
2016,botafogo-rj,10,9.0000,0.9000,0
2016,chapecoense,10,15.0000,1.5000,0
2016,corinthians,10,16.0000,1.6000,0
2016,coritiba,10,9.0000,0.9000,0
2016,cruzeiro,10,11.0000,1.1000,0
2016,figueirense,10,13.0000,1.3000,1
2016,flamengo,10,17.0000,1.7000,0
2016,fluminense,10,13.0000,1.3000,0
2016,gremio,10,18.0000,1.8000,0
2016,internacional,10,20.0000,2.0000,1
2016,palmeiras,10,22.0000,2.2000,0
2016,ponte-preta,10,13.0000,1.3000,0
2016,santa-cruz,10,11.0000,1.1000,1
2016,santos,10,16.0000,1.6000,0
2016,sao-paulo,10,15.0000,1.5000,0
2016,sport,10,9.0000,0.9000,0
2016,vitoria,10,12.0000,1.2000,0
2016,america-mg,15,8.0000,0.5333,1
2016,athletico-pr,15,24.0000,1.6000,0
2016,atletico-mg,15,23.0000,1.5333,0
2016,botafogo-rj,15,17.0000,1.1333,0
2016,chapecoense,15,19.0000,1.2667,0
2016,corinthians,15,29.0000,1.9333,0
2016,coritiba,15,15.0000,1.0000,0
2016,cruzeiro,15,15.0000,1.0000,0
2016,figueirense,15,16.0000,1.0667,1
2016,flamengo,15,24.0000,1.6000,0
2016,fluminense,15,21.0000,1.4000,0
2016,gremio,15,27.0000,1.8000,0
2016,internacional,15,20.0000,1.3333,1
2016,palmeiras,15,32.0000,2.1333,0
2016,ponte-preta,15,23.0000,1.5333,0
2016,santa-cruz,15,17.0000,1.1333,1
2016,santos,15,26.0000,1.7333,0
2016,sao-paulo,15,22.0000,1.4667,0
2016,sport,15,15.0000,1.0000,0
2016,vitoria,15,19.0000,1.2667,0
2016,america-mg,20,13.0000,0.6500,1
2016,athletico-pr,20,30.0000,1.5000,0
2016,atletico-mg,20,35.0000,1.7500,0
2016,botafogo-rj,20,26.0000,1.3000,0
2016,chapecoense,20,27.0000,1.3500,0
