clube,temporada,n_casa,n_fora,pts_casa,pts_fora,ppg_casa,ppg_fora,vantagem_ppg,share_pts_casa,pct_vitoria_casa,pct_empate_casa,pct_derrota_casa,saldo_casa_pj,gols_pro_casa_pj,gols_contra_casa_pj
ponte-preta,2003,23,23,31,20,1.3478,0.8696,0.4783,0.6078,0.3043,0.4348,0.2609,0.0870,1.6087,1.5217
ponte-preta,2004,23,23,37,27,1.6087,1.1739,0.4348,0.5781,0.4783,0.1739,0.3478,0.0000,1.1739,1.1739
ponte-preta,2005,21,21,36,15,1.7143,0.7143,1.0000,0.7059,0.5238,0.1429,0.3333,0.0952,1.8571,1.7619
ponte-preta,2006,19,19,27,12,1.4211,0.6316,0.7895,0.6923,0.4211,0.1579,0.4211,0.1579,1.6316,1.4737
ponte-preta,2012,19,19,34,14,1.7895,0.7368,1.0526,0.7083,0.4737,0.3684,0.1579,0.4211,1.1579,0.7368
ponte-preta,2013,19,19,22,15,1.1579,0.7895,0.3684,0.5946,0.3158,0.2105,0.4737,-0.3684,1.0000,1.3684
ponte-preta,2015,19,19,31,20,1.6316,1.0526,0.5789,0.6078,0.4737,0.2105,0.3158,0.3684,1.1579,0.7895
ponte-preta,2016,19,19,41,12,2.1579,0.6316,1.5263,0.7736,0.6842,0.1053,0.2105,0.7895,1.7368,0.9474
ponte-preta,2017,19,19,30,9,1.5789,0.4737,1.1053,0.7692,0.4737,0.1579,0.3684,0.2632,1.3684,1.1053
portuguesa,2008,19,19,32,6,1.6842,0.3158,1.3684,0.8421,0.4211,0.4211,0.1579,0.5263,1.7368,1.2105
portuguesa,2012,19,19,29,16,1.5263,0.8421,0.6842,0.6444,0.3684,0.4211,0.2105,0.5789,1.3158,0.7368
portuguesa,2013,19,19,34,14,1.7895,0.7368,1.0526,0.7083,0.4737,0.3684,0.1579,0.7895,1.6842,0.8947
santa-cruz,2006,19,19,22,6,1.1579,0.3158,0.8421,0.7857,0.3158,0.2105,0.4737,-0.4211,1.2105,1.6316
santa-cruz,2016,19,19,23,8,1.2105,0.4211,0.7895,0.7419,0.3684,0.1053,0.5263,0.0000,1.4211,1.4211
santo-andre,2009,19,19,29,12,1.5263,0.6316,0.8947,0.7073,0.4211,0.2632,0.3158,0.2105,1.5263,1.3158
santos,2003,23,23,51,36,2.2174,1.5652,0.6522,0.5862,0.6522,0.2609,0.0870,1.1304,2.3913,1.2609
